University_Code,University_Name,County,Type,Degree,Total_Students,Male,Female,FirstYear_Male,FirstYear_Female,SecondYear_Male,SecondYear_Female,ThirdYear_Male,ThirdYear_Female,FourthYear_Male,FourthYear_Female,FifthYear_Male,FifthYear_Female,SixthYear_Male,SixthYear_Female,SeventhYear_Male,SeventhYear_Female,Supersenior_Male,Supersenior_Female
17,國立臺北大學,01 新北市,日間部學制,學士班,5878,2674,3204,643,757,646,754,660,747,586,811,0,0,0,0,0,0,139,135
17,國立臺北大學,01 新北市,進修部在職專班,碩士班,456,205,251,88,92,71,99,23,34,17,15,6,11,0,0,0,0,0,0
17,國立臺北大學,01 新北市,進修學士班,學士班,1959,752,1207,207,320,170,312,187,308,114,185,6,19,0,0,0,0,68,63
18,國立嘉義大學,20 嘉義市,日間部學制,博士班,181,98,83,20,16,23,10,16,15,13,14,9,3,6,7,11,18,0,0
18,國立嘉義大學,20 嘉義市,日間部學制,碩士班,1355,621,734,194,257,227,241,119,139,81,97,0,0,0,0,0,0,0,0
18,國立嘉義大學,20 嘉義市,日間部學制,學士班,7830,4036,3794,946,939,980,915,978,925,942,921,27,21,0,0,0,0,163,73
18,國立嘉義大學,20 嘉義市,進修部在職專班,碩士班,938,386,552,154,205,112,177,55,99,65,70,0,0,0,0,0,1,0,0
18,國立嘉義大學,20 嘉義市,進修學士班,學士班,2095,1264,831,345,193,298,182,307,206,232,210,0,0,0,0,0,0,82,40
19,國立高雄大學,50 高雄市,日間部學制,博士班,24,22,2,4,1,6,0,3,0,2,0,4,1,2,0,1,0,0,0
19,國立高雄大學,50 高雄市,日間部學制,碩士班,646,420,226,154,97,167,77,64,35,35,17,0,0,0,0,0,0,0,0
19,國立高雄大學,50 高雄市,日間部學制,學士班,4193,2379,1814,562,445,589,426,574,445,547,449,0,0,0,0,0,0,107,49
19,國立高雄大學,50 高雄市,進修部在職專班,碩士班,473,303,170,113,60,95,61,44,28,25,13,15,6,11,2,0,0,0,0
19,國立高雄大學,50 高雄市,進修部學制,學士班,170,106,64,0,0,0,0,46,21,27,25,0,0,0,0,0,0,33,18
20,國立東華大學,15 花蓮縣,日間部學制,博士班,346,224,122,27,20,60,25,27,25,36,16,33,13,21,9,20,14,0,0
20,國立東華大學,15 花蓮縣,日間部學制,碩士班,1582,826,756,238,236,292,250,171,144,116,113,9,6,0,7,0,0,0,0
20,國立東華大學,15 花蓮縣,日間部學制,學士班,7659,3747,3912,890,945,841,950,883,933,869,912,0,0,0,0,0,0,264,172
20,國立東華大學,15 花蓮縣,進修部在職專班,碩士班,567,261,306,74,80,90,104,42,51,21,30,18,20,15,21,1,0,0,0
21,國立暨南國際大學,08 南投縣,日間部學制,博士班,346,196,150,31,29,37,27,23,25,25,23,30,13,19,20,31,13,0,0
21,國立暨南國際大學,08 南投縣,日間部學制,碩士班,903,462,441,161,140,149,126,90,79,62,96,0,0,0,0,0,0,0,0
21,國立暨南國際大學,08 南投縣,日間部學制,學士班,4675,2194,2481,525,611,512,638,553,589,506,573,0,0,0,0,0,0,98,70
21,國立暨南國際大學,08 南投縣,進修部在職專班,碩士班,437,202,235,82,87,80,84,18,30,11,18,8,10,3,6,0,0,0,0
22,國立臺灣科技大學,30 臺北市,日間部學制,博士班,1013,806,207,211,55,178,58,129,30,95,26,84,22,55,11,54,5,0,0
22,國立臺灣科技大學,30 臺北市,日間部學制,碩士班,3469,2442,1027,"1,117",508,"1,050",398,227,97,48,24,0,0,0,0,0,0,0,0
22,國立臺灣科技大學,30 臺北市,日間部學制,學士班,5581,3900,1681,987,402,974,387,907,434,831,397,0,0,0,0,0,0,201,61
22,國立臺灣科技大學,30 臺北市,日間部學制,學士班,147,55,92,0,0,0,0,31,48,24,36,0,0,0,0,0,0,0,8
22,國立臺灣科技大學,30 臺北市,進修部在職專班,博士班,11,10,1,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,0
22,國立臺灣科技大學,30 臺北市,進修部在職專班,碩士班,786,531,255,212,115,198,103,57,26,58,10,4,1,2,0,0,0,0,0
22,國立臺灣科技大學,30 臺北市,進修部學制,學士班,11,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10
23,國立雲林科技大學,09 雲林縣,日間部學制,博士班,429,285,144,52,28,42,24,46,25,44,22,30,16,34,15,37,14,0,0
23,國立雲林科技大學,09 雲林縣,日間部學制,碩士班,1973,1271,702,552,278,510,262,154,120,55,42,0,0,0,0,0,0,0,0
